id,name,cin,city,created_at,postal_code,street,street_number,updated_at,uri
429360,"Komora reštaurátorov, Lermontovova 8, Bratislava",31751156,Bratislava - mestská časť Staré Mesto,2019-07-07T04:01:45.542Z,81105,Lermontovova,8,2019-07-07T04:01:45.542Z,ico://sk/31751156
429361,"Základná škola, Bieloruská 1, Bratislava",31780741,Bratislava - mestská časť Podunajské Biskupice,2019-07-07T04:01:45.547Z,82106,Bieloruská,1,2019-07-07T04:01:45.547Z,ico://sk/31780741
429362,Materská škola Pusté Úľany 510,37840525,Pusté Úľany,2019-07-07T04:01:45.551Z,92528,Hlavná,510,2019-07-07T04:01:45.551Z,ico://sk/37840525
429363,"Základná škola, Pri kríži 11, Bratislava",36060917,Bratislava - mestská časť Dúbravka,2019-07-07T04:01:45.556Z,84102,Pri kríži,11,2019-07-07T04:01:45.556Z,ico://sk/36060917
429364,Základná škola Báb 225,37865528,Báb,2019-07-07T04:01:45.560Z,95134,,225,2019-07-07T04:01:45.560Z,ico://sk/37865528
429365,"Základná škola s materskou školou Kráľovnej Pokoja, Haligovce 24",42078415,Haligovce,2019-07-07T04:01:45.566Z,06534,,24,2019-07-07T04:01:45.566Z,ico://sk/42078415
429366,Obec Bílkove Humence,309397,Bílkove Humence,2019-07-07T04:01:45.573Z,90877,Bílkove Humence,169,2019-07-07T04:01:45.573Z,ico://sk/00309397
429367,Materská škola Richnava 260,42102201,Richnava,2019-07-07T04:01:45.579Z,05351,,260,2019-07-07T04:01:45.579Z,ico://sk/42102201
429368,Materská škola s vyučovacím jazykom maďarským - Óvoda,305341,,2019-07-07T04:01:45.584Z,930 08,Hlavná,,2019-07-07T04:01:45.584Z,ico://sk/00305341_710002432
429369,"Stredná odborná škola Jána Bocatia, Bocatiova 1, Košice",35570172,Košice - mestská časť Staré Mesto,2019-07-07T04:01:45.587Z,04001,Bocatiova,1,2019-07-07T04:01:45.587Z,ico://sk/35570172
429370,"Gymnázium Jozefa Miloslava Hurbana, 17. novembra 1296, Čadca",160563,Čadca,2019-07-07T04:01:45.591Z,02201,17. novembra,7,2019-07-07T04:01:45.591Z,ico://sk/00160563
429371,"Základná škola, Klátovská 56, Nižný Klátov",35544228,Nižný Klátov,2019-07-07T04:01:45.595Z,04412,Klátovská,56,2019-07-07T04:01:45.595Z,ico://sk/35544228
429372,"Materská škola, Miletičova 37, Bratislava",31786995,Bratislava - mestská časť Ružinov,2019-07-07T04:01:45.599Z,82109,Miletičova,37,2019-07-07T04:01:45.599Z,ico://sk/31786995
429373,"Materská škola, Hviezdoslavova 422/3, Trebišov",35544627,Trebišov,2019-07-07T04:01:45.603Z,07501,Hviezdoslavova,3,2019-07-07T04:01:45.603Z,ico://sk/35544627
429374,"Súkromná základná umelecká škola Róberta Tatára, Okružná 2, Banská Bystrica",37998544,Banská Bystrica,2019-07-07T04:01:45.607Z,97404,Okružná,2,2019-07-07T04:01:45.607Z,ico://sk/37998544
429375,Základná škola s materskou školou Kľušov,37944452,Kľušov,2019-07-07T04:01:45.610Z,08622,Kľušov,,2019-07-07T04:01:45.610Z,ico://sk/37944452
429376,"Základná škola Školská 4, Vrbové",37836625,Vrbové,2019-07-07T04:01:45.615Z,92203,Školská,4,2019-07-07T04:01:45.615Z,ico://sk/37836625
429377,"Súkromná základná škola Palackého 14, Košice",42094721,Košice - mestská časť Staré Mesto,2019-07-07T04:01:45.619Z,04001,Palackého,14,2019-07-07T04:01:45.619Z,ico://sk/42094721
429378,"Základná škola Komenského 34, Polomka",37828495,Polomka,2019-07-07T04:01:45.623Z,97666,Komenského,34,2019-07-07T04:01:45.623Z,ico://sk/37828495
429379,"Spojená škola J.A. Komenského 5, Rožňava",42243378,Rožňava,2019-07-07T04:01:45.627Z,04801,J.A. Komenského,5,2019-07-07T04:01:45.627Z,ico://sk/42243378
429624,Materská škola,331287,,2019-07-07T04:01:47.119Z,07661,Lesná,9,2019-07-07T04:01:47.119Z,ico://sk/00331287_10002
429380,"Cirkevná spojená škola Švermova 10, Snina",37796046,Snina,2019-07-07T04:01:45.631Z,06901,Švermova,10,2019-07-07T04:01:45.631Z,ico://sk/37796046
429430,"Základná škola, Mládežnícka 1434/16, Púchov",31202420,Púchov,2019-07-07T04:01:45.884Z,02001,Mládežnícka,16,2019-07-07T04:01:45.884Z,ico://sk/31202420
429381,"Základná škola Slobodného slovenského vysielača Skuteckého 8, Banská Bystrica",35677716,Banská Bystrica,2019-07-07T04:01:45.635Z,97401,Skuteckého,8,2019-07-07T04:01:45.635Z,ico://sk/35677716
429382,"Stredná odborná škola, Kysucká 14, Senec",36064386,Senec,2019-07-07T04:01:45.639Z,90301,Kysucká,14,2019-07-07T04:01:45.639Z,ico://sk/36064386
429383,"Materská škola, Zemianske Podhradie 117",699098,Zemianske Podhradie,2019-07-07T04:01:45.643Z,91307,,,2019-07-07T04:01:45.643Z,ico://sk/00699098_10001
429384,Základná škola s materskou školou Zubák 192,36125580,Zubák,2019-07-07T04:01:45.648Z,02064,,192,2019-07-07T04:01:45.648Z,ico://sk/36125580
429385,"Základná škola Mateja Lechkého Ulica Jána Pavla II. č. 1, Košice",35542616,Košice - mestská časť Sídlisko KVP,2019-07-07T04:01:45.652Z,04023,Ul. Jana Pavla II.,1,2019-07-07T04:01:45.652Z,ico://sk/35542616
