id,name,cin,city,created_at,postal_code,street,street_number,updated_at,uri
422463,Sociálna implementačná agentúra,31819648,,2019-07-07T04:00:29.355Z,81365,Špitálska,6,2019-07-07T04:00:29.355Z,ico://sk/31819648
422545,Okresný úrad Senec - odbor starostlivosti o živ. prostredie,151866,Senec,2019-07-07T04:00:29.838Z,,,,2019-07-07T04:00:29.838Z,ico://sk/00151866_10258
422546,Okresný úrad Senec - pozemkový a lesný odbor,151866,Senec,2019-07-07T04:00:29.842Z,,,,2019-07-07T04:00:29.842Z,ico://sk/00151866_10257
422548,Okresný úrad Námestovo - odbor cestnej dopravy a pozemných komunikácií,151866,Námestovo,2019-07-07T04:00:29.848Z,,,,2019-07-07T04:00:29.848Z,ico://sk/00151866_10218
422549,Okresný úrad Námestovo - odbor krízového riadenia,151866,Námestovo,2019-07-07T04:00:29.851Z,,,,2019-07-07T04:00:29.851Z,ico://sk/00151866_10219
422550,Okresný úrad Námestovo - odbor starostlivosti o životné prostredie,151866,Námestovo,2019-07-07T04:00:29.885Z,,,,2019-07-07T04:00:29.885Z,ico://sk/00151866_10220
422551,Okresný úrad Žarnovica - organizačný odbor,151866,Žarnovica,2019-07-07T04:00:29.931Z,,,,2019-07-07T04:00:29.931Z,ico://sk/00151866_10313
422553,Okresný úrad Žiar nad Hronom - odbor krízového riadenia,151866,Žiar nad Hronom,2019-07-07T04:00:30.257Z,,,,2019-07-07T04:00:30.257Z,ico://sk/00151866_10321
422555,Okresný úrad Partizánske,151866,Partizánske,2019-07-07T04:00:31.502Z,,,,2019-07-07T04:00:31.502Z,ico://sk/00151866_10326
422574,"Úrad práce, sociálnych vecí a rodiny Ružomberok",37905465,Ružomberok,2019-07-07T04:00:35.458Z,03401,Námestie slobody,9,2019-07-07T04:00:35.458Z,ico://sk/37905465
422598,"JUDr. Tatiana Mensatorisová, notár",620424,Banská Bystrica,2019-07-07T04:00:35.590Z,97400,Skuteckého,16,2019-07-07T04:00:35.590Z,ico://sk/00620424_10001
422603,"JUDr. Oľga Folbová, notár",42356024,Bratislava - mestská časť Ružinov,2019-07-07T04:00:35.643Z,82105,Hraničná,18,2019-07-07T04:00:35.643Z,ico://sk/42356024_99999
422608,Správa finančnej kontroly Zvolen,894494,,2019-07-07T04:00:35.684Z,,,,2019-07-07T04:00:35.684Z,ico://sk/00894494
422689,Obec Hronský Beňadik - Matričný úrad,320676,Hronský Beňadik,2019-07-07T04:00:36.355Z,96653,Mýtne námestie,26,2019-07-07T04:00:36.355Z,ico://sk/00320676_10001
422821,"Všeobecná zdravotná poisťovňa, a.s.",35937974,Bratislava - mestská časť Petržalka,2019-07-07T04:00:37.313Z,85005,Mamateyova,17,2019-07-07T04:00:37.313Z,ico://sk/35937974
422825,"Úrad práce, sociálnych vecí a rodiny Bratislava",30853788,,2019-07-07T04:00:37.328Z,81616,Vazovova,7/A,2019-07-07T04:00:37.328Z,ico://sk/30853788
422826,"Úrad práce, sociálnych vecí a rodiny Brezno",37949594,Brezno,2019-07-07T04:00:37.333Z,97701,Rázusova,40,2019-07-07T04:00:37.333Z,ico://sk/37949594
422827,"Úrad práce, sociálnych vecí a rodiny Čadca",37905546,Čadca,2019-07-07T04:00:37.338Z,02201,Matičné námestie,,2019-07-07T04:00:37.338Z,ico://sk/37905546
422828,"Úrad práce, sociálnych vecí a rodiny Dolný Kubín",37905511,Dolný Kubín,2019-07-07T04:00:37.343Z,02601,Námestie slobody,,2019-07-07T04:00:37.343Z,ico://sk/37905511
422829,"Úrad práce, sociálnych vecí a rodiny Dunajská Streda",37847554,Dunajská Streda,2019-07-07T04:00:37.347Z,92901,Ádorská,850,2019-07-07T04:00:37.347Z,ico://sk/37847554
422830,"Úrad práce, sociálnych vecí a rodiny Galanta",37847708,Galanta,2019-07-07T04:00:37.351Z,92401,Staničná,,2019-07-07T04:00:37.351Z,ico://sk/37847708
422899,"Úrad práce, sociálnych vecí a rodiny Humenné",37937791,Humenné,2019-07-07T04:00:37.739Z,06670,Kukorelliho,1,2019-07-07T04:00:37.739Z,ico://sk/37937791
422900,"Úrad práce, sociálnych vecí a rodiny Kežmarok",37938606,Kežmarok,2019-07-07T04:00:37.747Z,06001,Dr. Alexandra,61,2019-07-07T04:00:37.747Z,ico://sk/37938606
422901,"Úrad práce, sociálnych vecí a rodiny Komárno",37961195,Komárno,2019-07-07T04:00:37.765Z,94501,Nám. M.R. Štefánika,9,2019-07-07T04:00:37.765Z,ico://sk/37961195
422902,"Úrad práce, sociálnych vecí a rodiny Levice",37961209,Levice,2019-07-07T04:00:37.776Z,93401,Ľ.Štúra,,2019-07-07T04:00:37.776Z,ico://sk/37961209
422953,"Úrad práce, sociálnych vecí a rodiny Liptovský Mikuláš",37905538,Liptovský Mikuláš,2019-07-07T04:00:38.194Z,03180,M.M.Hodžu,30,2019-07-07T04:00:38.194Z,ico://sk/37905538
