_id,ICO,URI,Nazov,Dátum poslednej aktualizácie: 30.6.2019
192,35545585,ico://sk/35545585,Základná škola s materskou školou Krčava 184,
193,37860810,ico://sk/37860810,Základná škola Semerovo,
194,327379,ico://sk/00327379,Mesto Lipany,
195,48485357,ico://sk/48485357_00501,"Správca - Trnavský správcovský dom, k. s.",
196,48485357,ico://sk/48485357_00034,"Správca - Vároši Peter, JUDr.",
197,48485357,ico://sk/48485357_00006,"Správca - Sopko Peter, JUDr.",
198,655295,ico://sk/00655295,Baracha Zariadenie sociálnych služieb Bardoňovo,
199,37920421,ico://sk/37920421,Katolícka spojená škola Nemšová,
200,311995,ico://sk/00311995,Obec Stará Lehota,
201,309061,ico://sk/00309061,Obec Maňa,
202,31305288,ico://sk/31305288,"Evanjelické gymnázium Jana Amosa Komenského, Košice",
203,31748201,ico://sk/31748201,"Základná škola, Biskupická 21, Bratislava",
204,321362,ico://sk/00321362,Obec Kolárovice,
205,35984538,ico://sk/35984538,Regionálna veterinárna a potravinová správa Lučenec,
206,893480,ico://sk/00893480,Stredná odborná škola obchodu a služieb Topoľčany,
207,42355818,ico://sk/42355818_1010,"OSFS, pozemná pohyblivá služba",
208,160555,ico://sk/00160555,Gymnázium Bytča,
209,48485357,ico://sk/48485357_00024,"Správca - Pintér Tomáš, JUDr.",
210,37957970,ico://sk/37957970,Materská škola - Óvoda Rybárska Rimavská Sobota,
211,48485357,ico://sk/48485357_00056,"Správca - Gombíková Dašena, JUDr.",
212,37904876,ico://sk/37904876,"Materská škola, Trnavska 2993/21, Žilina",
213,151866,ico://sk/00151866_12010,Okresné riaditeľstvo Hasičského a záchranného zboru v Rimavskej Sobote,
214,37863967,ico://sk/37863967,Základná škola Mojzesovo - Černík,
215,31827004,ico://sk/31827004,Obec Ivanka pri Nitre,
216,36062197,ico://sk/36062197,"Základná škola s materskou školou, Hlavná 293, Častá",
217,310433,ico://sk/00310433,Obec Horné Naštice,
218,312037,ico://sk/00312037,Mesto Trenčín,
219,48485357,ico://sk/48485357_00244,"Správca - Dedák Štefan, JUDr.",
220,313793,ico://sk/00313793,Obec Sebedín-Bečov,
221,42349761,ico://sk/42349761,"Súkromná základná umelecká škola, Predmestská 17, 01001 Žilina",
222,37866893,ico://sk/37866893,Základná škola Sokolníky Podhorany,
223,17335914,ico://sk/17335914,Regionálny úrad verejného zdravotníctva Svidník,
224,42083460,ico://sk/42083460,Základná škola s materskou školou Domaňovce 30,
225,17071232,ico://sk/17071232,"JUDr. Róbert Tutko, exekútor",
226,35543914,ico://sk/35543914,"Základná škola, Lipová 2038/13, Spišská Nová Ves",
227,319805,ico://sk/00319805,Mesto Detva,
228,37999036,ico://sk/37999036,"JUDr. Jana Rovná, notár",
229,314684,ico://sk/00314684_10001,Obec Nižná,
230,36125911,ico://sk/36125911,"Základná škola s materskou školou, 453 Drietoma",
231,42356709,ico://sk/42356709,"JUDr. Miroslav Pavlovič, notár",
232,42372984,ico://sk/42372984,"Zariadenie pre seniorov, Fraňa Kráľa 4, Nové Mesto nad Váhom",
233,36126543,ico://sk/36126543,"Základná škola Dlhé Hony 1, Trenčín",
234,48485357,ico://sk/48485357_00588,"Správca - Ambroz Matej, Mgr.",
235,36094218,ico://sk/36094218,"Základná škola s materskou školou Sándora Petőfiho s vyučovacím jazykom maďarským Fučíkova 223, Sládkovičovo",
236,31931197,ico://sk/31931197,"JUDr. Marta Jurinová, notár",
237,647900,ico://sk/00647900,Domov dôchodcov a domov sociálnych služieb Kremnica,
238,48485357,ico://sk/48485357_00460,"Správca - Kováčik Ján, Mgr.",
239,48485357,ico://sk/48485357_00627,"Správca - Cvejkuš Jakub, JUDr.",
240,632406,ico://sk/00632406,Centrum sociálnych služieb - SLOVEN,
241,313190,ico://sk/00313190,Mesto Vrbové,
242,48485357,ico://sk/48485357_00388,"Správca - Surmová Soňa, JUDr., LL.M.",
243,314820,ico://sk/00314820,Obec Pucov,
244,332046,ico://sk/00332046_10001,Materská škola Veľké Ozorovce,
245,66228855,ico://sk/66228855_10001,Test_OJ_13_3,
246,35541130,ico://sk/35541130,"Základná škola, Školská 3, Čierna nad Tisou",
247,36561,ico://sk/00036561,Mestské kultúrne stredisko Dunajská Streda,
248,305545,ico://sk/00305545,Obec Kvetoslavov,
249,328626,ico://sk/00328626,Obec Pašková,
250,37947541,ico://sk/37947541,"Stredná odborná škola, Štefánikova 39, Svit",
251,17151091,ico://sk/17151091,"Obchodná akadémia, Jarmočná 132 Stará Ľubovňa",
252,42141508,ico://sk/42141508,"Súkromná základná umelecká škola VOLCANO, Lipová 8, Handlová",
253,48485357,ico://sk/48485357_00454,"Správca - Pirohár Anett, Ing.",
254,31201440,ico://sk/31201440,Základná škola Jána Lipského s materskou školou Trenčianske Stankovce 405,
255,35511745,ico://sk/35511745,"Mgr. Juraj Voloch, exekútor",
256,650102,ico://sk/00650102,Obec Kesovce,
257,313629,ico://sk/00313629,Obec Motyčky,
258,35540532,ico://sk/35540532,"Materská škola, Tatranská 23, Košice",
259,397768,ico://sk/00397768_10004,Filozofická fakulta,
260,42081041,ico://sk/42081041,"Mgr. Alexandra Kučečková, notár",
261,655341,ico://sk/00655341,"Vek nádeje, Zariadenie sociálnych služieb, Nové Zámky",
262,37819003,ico://sk/37819003,Odborné učilište internátne Želovce,
263,31944523,ico://sk/31944523,Okresný súd Košice II,
264,50655884,ico://sk/50655884,"Základná škola s materskou školou, Čajkov 285",
265,166481,ico://sk/00166481_10001,Generálna prokuratúra SR - Register trestov,
266,311553,ico://sk/00311553,Obec Horná Streda,
267,48485357,ico://sk/48485357_00504,"Správca - Areko Group, k. s.",
268,620581,ico://sk/00620581,Obec Liptovský Peter,
269,35545593,ico://sk/35545593,Základná škola Podhoroď č. 17,
270,37867091,ico://sk/37867091,"Základná umelecká škola - Művészeti Alapiskola Komárňanská 116, Hurbanovo",
271,647764,ico://sk/00647764,Domov sociálnych služieb a špecializované zariadenie Liptovský Hrádok,
272,42287618,ico://sk/42287618,Materská škola Podjavorinskej Hlohovec,
273,31295070,ico://sk/31295070,Regionálna veterinárna a potravinová správa Košice - okolie,
274,31754961,ico://sk/31754961,"Základná škola, Tupolevova 20, Bratislava",
275,2551,ico://sk/00002551,Puncový úrad SR,
276,31953158,ico://sk/31953158,"Základná škola, Hlavná 165, Valaliky",
277,34041907,ico://sk/34041907,Špeciálna základná škola s VJM- speciális alapiskola Kolárovo,
278,315940,ico://sk/00315940,Obec Ábelová,
279,35564121,ico://sk/35564121,Materská škola Spišské Vlachy,
280,648698,ico://sk/00648698,Zariadenie pre seniorov Prievidza,
281,42400538,ico://sk/42400538,"JUDr. Lukáš Liščák, súdny exekútor",
282,165964,ico://sk/00165964,Okresný súd Svidník,
283,48485357,ico://sk/48485357_00058,"Správca - Balážová Alena, JUDr.",
284,37873571,ico://sk/37873571,"Základná škola s materskou školou - Osnovna škola z materskov školov, Klenová 111",
285,35610654,ico://sk/35610654,"JUDr. Ladislav Szabó, exekútor",
286,316041,ico://sk/00316041,Obec Divín,
287,330248,ico://sk/00330248,Obec Veľký Lipník,
288,332241,ico://sk/00332241,Obec Babie,
289,682217,ico://sk/00682217,Obec Opoj,
290,327263,ico://sk/00327263,Obec Kojatice,
291,603392,ico://sk/00603392,Mestská časť Bratislava - Devínska Nová Ves,
292,42183707,ico://sk/42183707,"Materská škola sv. Filipa Neriho, Zlatohorská 18, Bratislava",
293,48485357,ico://sk/48485357_00123,"Správca - Valent Jaromír, JUDr.",
334,308889,ico://sk/00308889,Obec Dubník,
294,31813038,ico://sk/31813038,Materská škola Ružová Stupava,
295,30794536,ico://sk/30794536_0036,"Ústredie práce, sociálnych vecí a rodiny, Úrad práce, sociálnych vecí a rodiny Poprad",
296,690279,ico://sk/00690279,"Obec Háj, okres Košice-okolie",
297,160610,ico://sk/00160610,"Gymnázium Mateja Hrebendu, Hlavná 431, Hnúšťa",
298,30794536,ico://sk/30794536_0011,"Ústredie práce, sociálnych vecí a rodiny, Úrad práce, sociálnych vecí a rodiny Považská Bystrica",
299,35570172,ico://sk/35570172,"Stredná odborná škola Jána Bocatia, Bocatiova 1, Košice",
300,37873121,ico://sk/37873121,Základná škola s materskou školou Bukovce,
301,649309,ico://sk/00649309,Obec Karlová,
302,36158135,ico://sk/36158135,"Základná umelecká škola, Štúrova 29, 08271 Lipany",
303,161357,ico://sk/00161357,"Stredná priemyselná škola - Ipari Szakkőzépiskola, Petőfiho 2, Komárno",
304,649678,ico://sk/00649678,Obec Babinec,
305,48485357,ico://sk/48485357_00405,Správca - LEGATOs Recovery k.s.,
306,37864599,ico://sk/37864599,Základná škola s materskou školou Žemberovce,
307,322776,ico://sk/00322776,Obec Želmanovce,
308,327158,ico://sk/00327158_10002,Materská škola Chminianske Jakubovany,
309,42150710,ico://sk/42150710,"JUDr. Ing. Andrej Slezák, notár",
310,48485357,ico://sk/48485357_00027,"Správca - Vaňo Tomáš, JUDr.",
311,48485357,ico://sk/48485357_00369,"Správca - Nosková Milena, Mgr.",
